"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.69492896728973,0.29,0.038,0,"1","TREM2"
0,2.67270392974662,0.157,0.024,0,"1","HAMP"
0,2.37087496133654,0.7,0.145,0,"1","VSIG4"
0,2.14070615343324,0.97,0.392,0,"1","FCGR3A"
0,2.13106628921331,0.185,0.027,0,"1","LILRB4"
0,2.0484389354104,0.928,0.312,0,"1","FCGR3B"
0,1.92664627513267,0.709,0.183,0,"1","FCGR1A"
0,1.85595988941318,0.71,0.185,0,"1","CD14"
0,1.7985082299707,0.887,0.338,0,"1","CD68"
0,1.79189159620377,0.261,0.046,0,"1","CSF2RA"
0,3.15282512064935,0.279,0.055,0,"2","LAG3"
0,3.13119028609954,0.496,0.096,0,"2","NKG7"
0,2.9004260461508,0.472,0.095,0,"2","GZMA"
0,2.8057483504984,0.12,0.021,0,"2","PDCD1"
0,2.79006324056836,0.57,0.134,0,"2","GZMK"
0,2.76911288532264,0.831,0.244,0,"2","CD8A"
0,2.66704268120868,0.751,0.236,0,"2","CCL5"
0,2.65116447540287,0.184,0.041,0,"2","TNFRSF9"
0,2.62437325835014,0.333,0.073,0,"2","PRF1"
0,2.21798227485227,0.605,0.176,0,"2","CD2"
0,4.2103584956977,0.396,0.047,0,"3","SFRP4"
0,3.87119875251101,0.373,0.041,0,"3","PDGFRA"
0,3.79130208800728,0.503,0.067,0,"3","THBS2"
0,3.17245859231565,0.38,0.073,0,"3","LTBP2"
0,2.90928328569615,0.324,0.06,0,"3","C7"
0,2.60504149510493,0.276,0.067,0,"3","MEST"
0,2.46934550079818,0.331,0.095,0,"3","CTSK"
0,2.36480090757443,0.271,0.075,0,"3","FBLN1"
0,2.24652152251215,0.538,0.205,0,"3","COL5A2"
0,2.13918947840455,0.1,0.032,0,"3","DPT"
0,3.11945420145541,0.553,0.034,0,"4","EGFR"
0,2.89970841358557,0.321,0.019,0,"4","CDH16"
0,2.70881083077922,0.93,0.234,0,"4","CXCL6"
0,2.69122905793633,0.96,0.207,0,"4","MET"
0,2.6458960285575,0.477,0.042,0,"4","LGI4"
0,2.31883515027208,0.754,0.12,0,"4","TM4SF18"
0,2.28304051286598,0.725,0.094,0,"4","CDH2"
0,2.24823174175563,0.449,0.06,0,"4","UBE2C"
0,2.22183407294824,0.386,0.033,0,"4","BAMBI"
0,2.2211237326218,0.786,0.121,0,"4","ERBB2"
0,4.1096312096075,0.138,0.014,0,"5","HIGD1B"
0,4.04304006951603,0.504,0.061,0,"5","STEAP4"
0,3.67993104478395,0.2,0.032,0,"5","ASPN"
0,3.57052862245909,0.764,0.147,0,"5","PDGFRB"
0,3.38500227053417,0.453,0.076,0,"5","GEM"
0,2.80324420079497,0.175,0.045,0,"5","PTN"
0,2.43818371799022,0.275,0.058,0,"5","ANGPT2"
0,2.38393462037169,0.595,0.205,0,"5","COL5A2"
0,2.35932626118282,0.559,0.189,0,"5","THY1"
0,2.18092995437799,0.206,0.057,0,"5","PCOLCE"
0,6.29696984945289,0.91,0.049,0,"6","MS4A1"
0,5.8001634515963,0.409,0.015,0,"6","CD19"
0,5.49353963550169,0.624,0.048,0,"6","BANK1"
0,5.18955102665184,0.238,0.014,0,"6","TCL1A"
0,4.94126171433023,0.186,0.013,0,"6","CD1C"
0,4.92761307886365,0.167,0.009,0,"6","TNFRSF13B"
0,4.60452026405534,0.653,0.05,0,"6","CD79A"
0,3.85710638324469,0.214,0.029,0,"6","SPIB"
0,3.46090228669884,0.273,0.05,0,"6","CD83"
0,3.2790162060693,0.461,0.096,0,"6","IRF8"
0,4.61237435051737,0.71,0.051,0,"7","CLEC14A"
0,4.13317820974658,0.815,0.112,0,"7","CD34"
0,4.11110018547009,0.198,0.014,0,"7","BTNL9"
0,4.08107898076187,0.784,0.092,0,"7","ADGRL4"
0,4.05065316320245,0.416,0.03,0,"7","MCF2L"
0,3.85713191713935,0.196,0.015,0,"7","SOX17"
0,3.59103029073173,0.775,0.1,0,"7","VWF"
0,3.5710699720415,0.202,0.019,0,"7","SOX18"
0,3.50967373326802,0.469,0.052,0,"7","MMRN2"
0,3.45650851623468,0.272,0.027,0,"7","RAPGEF3"
0,4.74066383566437,0.341,0.016,0,"8","C5orf46"
0,2.60779978397021,0.415,0.077,0,"8","EDN1"
0,2.50749322565345,0.529,0.108,0,"8","CDH2"
0,2.49129246974263,0.2,0.034,0,"8","MUC1"
0,2.47078552085795,0.772,0.203,0,"8","SEMA3C"
0,2.45997285809085,0.826,0.218,0,"8","MET"
0,2.42077491100231,0.301,0.053,0,"8","PPP1R1A"
0,2.37504251641922,0.836,0.243,0,"8","CXCL6"
0,2.37293122072721,0.126,0.021,0,"8","KRT13"
0,2.36552613707968,0.291,0.048,0,"8","STC2"
0,3.68440212855959,0.662,0.117,0,"9","IL7R"
0,3.25046926956987,0.316,0.059,0,"9","CCR7"
0,3.17600589217888,0.257,0.06,0,"9","KLRB1"
0,3.10883717562258,0.301,0.064,0,"9","CD28"
0,3.01749844517786,0.144,0.035,0,"9","CCL19"
0,2.72174320536775,0.334,0.093,0,"9","SELL"
0,2.56264235244892,0.312,0.101,0,"9","CD69"
0,2.29398565931905,0.257,0.084,0,"9","CD247"
0,2.22188817630102,0.465,0.187,0,"9","CYTIP"
0,2.22058821457591,0.372,0.137,0,"9","CD3D"
0,5.98915538941124,0.844,0.048,0,"10","MZB1"
0,5.22313087304264,0.83,0.059,0,"10","TENT5C"
0,5.0762412349348,0.426,0.027,0,"10","TNFRSF17"
0,4.77961215465867,0.593,0.074,0,"10","SDC1"
0,4.24191774802431,0.196,0.017,0,"10","DERL3"
0,4.08525018670979,0.789,0.136,0,"10","SLAMF7"
0,3.26840520041426,0.593,0.146,0,"10","FKBP11"
0,3.11053650052032,0.242,0.037,0,"10","CCR2"
0,2.92689310424021,0.635,0.166,0,"10","PRDM1"
0,2.53344085584541,0.423,0.068,0,"10","CD79A"
0,5.24297439058074,0.302,0.017,0,"11","CD300E"
0,4.988194402239,0.191,0.012,0,"11","FCN1"
0,4.86515945681887,0.218,0.015,0,"11","CLEC10A"
0,3.47249121202475,0.369,0.064,0,"11","PLA2G7"
0,3.40418713917223,0.333,0.057,0,"11","MRC1"
0,3.11970061924228,0.293,0.07,0,"11","LYVE1"
0,2.57380968331421,0.123,0.027,0,"11","AQP9"
0,2.50870659112811,0.338,0.092,0,"11","LILRB2"
0,2.40512687220459,0.353,0.112,0,"11","ITGAX"
0,2.18691001012712,0.469,0.126,0,"11","MPEG1"
0,1.46209154409793,0.542,0.455,0,"12","FCGR3A"
0,1.4421733376521,0.427,0.381,0,"12","FCGR3B"
2.31334887302165e-35,1.23743583888341,0.283,0.295,9.36906293573769e-33,"12","CD163"
1.31445572148009e-53,1.22596623139918,0.086,0.132,5.32354567199437e-51,"12","MNDA"
0.00154974625905963,1.22465089529922,0.199,0.246,0.627647234919149,"12","FCGR1A"
6.40115799717661e-101,1.21726556136429,0.375,0.391,2.59246898885653e-98,"12","MS4A6A"
2.18545608925128e-36,1.17448008093575,0.353,0.403,8.8510971614677e-34,"12","C1orf162"
4.47837059335493e-16,1.14998395008681,0.163,0.212,1.81374009030875e-13,"12","MS4A4A"
8.09517839564303e-06,1.14022704314341,0.253,0.329,0.00327854725023543,"12","AIF1"
2.85698685329002e-05,1.12894285974905,0.2,0.248,0.0115707967558246,"12","CD14"
0,5.63951418176861,0.707,0.037,0,"13","PROX1"
0,5.38062269782137,0.204,0.009,0,"13","BMX"
0,4.68707886065002,0.684,0.064,0,"13","MMRN1"
0,4.06404001525866,0.434,0.046,0,"13","PDPN"
0,3.54369835070079,0.3,0.041,0,"13","CAVIN2"
0,3.29299463408171,0.458,0.065,0,"13","LYVE1"
0,3.16300103980139,0.269,0.049,0,"13","RGS16"
0,3.07165110922889,0.705,0.207,0,"13","TFPI"
0,3.04471552112372,0.421,0.078,0,"13","EGFL7"
0,3.02767568598008,0.431,0.075,0,"13","ECSCR"
0,6.65848111030596,0.413,0.015,0,"14","GNLY"
0,6.23049216718183,0.447,0.017,0,"14","KLRD1"
0,5.38320788292661,0.361,0.022,0,"14","KLRC1"
0,2.56673871548392,0.276,0.065,0,"14","KLRB1"
0,2.46030813851938,0.373,0.091,0,"14","PRF1"
0,2.29408451685633,0.209,0.053,0,"14","GZMB"
0,2.22728514572686,0.188,0.047,0,"14","DUSP2"
0,2.01078127068557,0.324,0.087,0,"14","CD247"
0,1.8940375425187,0.391,0.128,0,"14","NKG7"
0,1.68129610184858,0.353,0.126,0,"14","GZMA"
0,6.35489704017233,0.224,0.007,0,"15","DES"
0,6.06210701815598,0.669,0.025,0,"15","MYH11"
0,5.94372281776495,0.473,0.018,0,"15","CNN1"
0,3.16674595752483,0.844,0.381,0,"15","ACTA2"
0,2.60598255260668,0.436,0.194,0,"15","ACTG2"
0,2.56841142847965,0.182,0.037,0,"15","ASPN"
