"cluster","n_cells","marker_type","immune_label","kidney_l1","kidney_agreement","mean_kidney_score","adopted_kidney","kidney_immune_conflict","final_ref_cell_type"
"1",9328,"T_cell","Effector memory CD8 T cells","Immune",1,0.999,FALSE,FALSE,"Effector memory CD8 T cells"
"2",6317,"T_cell","T regulatory cells","Immune",0.978,0.98,FALSE,FALSE,"T regulatory cells"
"3",4767,"Myeloid","Intermediate monocytes","Immune",1,0.999,FALSE,FALSE,"Intermediate monocytes"
"4",4632,"Myeloid","Intermediate monocytes","Immune",0.989,0.976,FALSE,FALSE,"Intermediate monocytes"
"5",3979,"Intercalated","Intercalated","Immune",0.806,0.808,FALSE,TRUE,"Intercalated"
"6",3949,"Stroma_mural","Stroma_mural","Fibroblast",0.611,0.849,TRUE,FALSE,"Fibroblast"
"7",3034,"Stroma_mural","Stroma_mural","Fibroblast",0.948,0.897,TRUE,FALSE,"Fibroblast"
"8",2913,"T_cell","Effector memory CD8 T cells","Immune",0.87,0.898,FALSE,FALSE,"Effector memory CD8 T cells"
"9",2827,"Stroma_mural","Stroma_mural","Immune",0.401,0.745,FALSE,FALSE,"Stroma_mural"
"10",2643,"Endothelial","Endothelial","Endothelial",0.652,0.826,TRUE,FALSE,"Endothelial"
"11",2503,"Tumor_RCC","Tumor_RCC","Immune",0.914,0.911,FALSE,FALSE,"Tumor_RCC"
"12",2335,"Stroma_mural","Stroma_mural","Immune",0.608,0.902,FALSE,TRUE,"Stroma_mural"
"13",1776,"NK_cell","Natural killer cells","Immune",0.975,0.967,FALSE,FALSE,"Natural killer cells"
"14",1733,"Myeloid","Myeloid dendritic cells","Immune",0.929,0.944,FALSE,FALSE,"Myeloid dendritic cells"
"15",1410,"Plasma","Plasmablasts","Immune",0.721,0.863,FALSE,FALSE,"Plasmablasts"
"16",1019,"B_cell","Switched memory B cells","Immune",0.895,0.915,FALSE,FALSE,"Switched memory B cells"
"17",707,"Stroma_mural","Stroma_mural","Fibroblast",0.822,0.796,TRUE,FALSE,"Fibroblast"
"18",443,"Mast","Mast","Immune",0.711,0.768,FALSE,FALSE,"Mast"
"19",189,"DC","Myeloid dendritic cells","Immune",0.962,0.945,FALSE,FALSE,"Myeloid dendritic cells"
